FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-0.05,7,,23
2,0.066666667,,50.41666667,-0.045833333,6.65,,21
3,0.1,,45.83333333,-0.041287879,6.391666667,,24
4,0.133333333,,41.25,-0.036742424,6.133333333,,22
5,0.166666667,,36.66666667,-0.03219697,5.875,,23
6,0.2,,32.08333333,-0.027651515,5.616666667,,22
7,0.233333333,,27.5,-0.023106061,5.358333333,,24
8,0.266666667,,22.91666667,-0.018560606,5.1,,22
9,0.3,,18.33333333,-0.014015152,4.841666667,,23
10,0.333333333,,13.75,-0.009469697,4.583333333,,21
11,0.366666667,,9.166666667,-0.004924242,4.325,,23
12,0.4,,4.583333333,-0.000378788,4.066666667,,21
13,0.433333333,,0,0.004166667,3.808333333,,22
