FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-1.27,7,,23
2,0.066666667,,50.77,-1.172307692,6.621538462,,21
3,0.1,,46.54,-1.074615385,6.243076923,,24
4,0.133333333,,42.31,-0.976923077,5.864615385,,22
5,0.166666667,,38.08,-0.879230769,5.486153846,,23
6,0.2,,33.85,-0.781538462,5.107692308,,22
7,0.233333333,,29.62,-0.683846154,4.729230769,,24
8,0.266666667,,25.39,-0.586153846,4.350769231,,22
9,0.3,,21.16,-0.488461538,3.972307692,,23
10,0.333333333,,16.93,-0.390769231,3.593846154,,21
11,0.366666667,,12.7,-0.293076923,3.215384615,,23
12,0.4,,8.47,-0.195384615,2.836923077,,21
13,0.433333333,,4.24,-0.097692308,2.458461538,,22
14,0.466666667,,0,0,2.08,,23
