FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-1.62,7,,23
2,0.066666667,,50.77,-1.495384615,6.609230769,,21
3,0.1,,46.54,-1.370769231,6.179230769,,24
4,0.133333333,,42.31,-1.246153846,5.749230769,,22
5,0.166666667,,38.08,-1.121538462,5.319230769,,23
6,0.2,,33.85,-0.996923077,4.889230769,,22
7,0.233333333,,29.62,-0.872307692,4.459230769,,24
8,0.266666667,,25.39,-0.747692308,4.029230769,,22
9,0.3,,21.16,-0.623076923,3.599230769,,23
10,0.333333333,,16.93,-0.498461538,3.169230769,,21
11,0.366666667,,12.7,-0.373846154,2.739230769,,23
12,0.4,,8.47,-0.249230769,2.309230769,,21
13,0.433333333,,4.24,-0.124615385,1.879230769,,22
14,0.466666667,,0,0,1.449230769,,23
