FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-1,7,,23
2,0.066666667,,51.07,-0.928571429,6.641428571,,21
3,0.1,,47.14,-0.857142857,6.282857143,,24
4,0.133333333,,43.21,-0.785714286,5.924285714,,22
5,0.166666667,,39.28,-0.714285714,5.565714286,,23
6,0.2,,35.35,-0.642857143,5.207142857,,22
7,0.233333333,,31.42,-0.571428571,4.848571429,,24
8,0.266666667,,27.49,-0.5,4.49,,22
9,0.3,,23.56,-0.428571429,4.131428571,,23
10,0.333333333,,19.63,-0.357142857,3.772857143,,21
11,0.366666667,,15.7,-0.285714286,3.414285714,,23
12,0.4,,11.77,-0.214285714,3.055714286,,21
13,0.433333333,,7.84,-0.142857143,2.697142857,,22
14,0.466666667,,3.91,-0.071428571,2.338571429,,23
15,0.5,,0,0,1.98,,21
