FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-3.89,7,,23
2,0.066666667,,50.77,-3.590769231,6.655384615,,21
3,0.1,,46.54,-3.291538462,6.310769231,,24
4,0.133333333,,42.31,-2.992307692,5.966153846,,22
5,0.166666667,,38.08,-2.693076923,5.621538462,,23
6,0.2,,33.85,-2.393846154,5.276923077,,22
7,0.233333333,,29.62,-2.094615385,4.932307692,,24
8,0.266666667,,25.39,-1.795384615,4.587692308,,22
9,0.3,,21.16,-1.496153846,4.243076923,,23
10,0.333333333,,16.93,-1.196923077,3.898461538,,21
11,0.366666667,,12.7,-0.897692308,3.553846154,,23
12,0.4,,8.47,-0.598461538,3.209230769,,21
13,0.433333333,,4.24,-0.299230769,2.864615385,,22
14,0.466666667,,0,0,2.52,,23
