FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-3,7,,23
2,0.066666667,,50.41666667,-2.75,6.725833333,,21
3,0.1,,45.83333333,-2.5,6.451666667,,24
4,0.133333333,,41.25,-2.25,6.1775,,22
5,0.166666667,,36.66666667,-2,5.903333333,,23
6,0.2,,32.08333333,-1.75,5.629166667,,22
7,0.233333333,,27.5,-1.5,5.355,,24
8,0.266666667,,22.91666667,-1.25,5.080833333,,22
9,0.3,,18.33333333,-1,4.806666667,,23
10,0.333333333,,13.75,-0.75,4.5325,,21
11,0.366666667,,9.166666667,-0.5,4.258333333,,23
12,0.4,,4.583333333,-0.25,3.984166667,,21
13,0.433333333,,0,0,3.71,,22
