FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-4.44,7,,23
2,0.066666667,,50.77,-4.098461538,6.57,,21
3,0.1,,46.54,-3.756923077,6.14,,24
4,0.133333333,,42.31,-3.415384615,5.71,,22
5,0.166666667,,38.08,-3.073846154,5.28,,23
6,0.2,,33.85,-2.732307692,4.85,,22
7,0.233333333,,29.62,-2.390769231,4.42,,24
8,0.266666667,,25.39,-2.049230769,3.99,,22
9,0.3,,21.16,-1.707692308,3.56,,23
10,0.333333333,,16.93,-1.366153846,3.13,,21
11,0.366666667,,12.7,-1.024615385,2.7,,23
12,0.4,,8.47,-0.683076923,2.27,,21
13,0.433333333,,4.24,-0.341538462,1.84,,22
14,0.466666667,,0,0,1.41,,23
