FrameNo.,Time,,X,Y,Z,,Intensity(Log)
1,0.033333333,,55,-0.35,7,,23
2,0.066666667,,50.41666667,-0.320833333,6.5775,,21
3,0.1,,45.83333333,-0.291666667,6.155,,24
4,0.133333333,,41.25,-0.2625,5.7325,,22
5,0.166666667,,36.66666667,-0.233333333,5.31,,23
6,0.2,,32.08333333,-0.204166667,4.8875,,22
7,0.233333333,,27.5,-0.175,4.465,,24
8,0.266666667,,22.91666667,-0.145833333,4.0425,,22
9,0.3,,18.33333333,-0.116666667,3.62,,23
10,0.333333333,,13.75,-0.0875,3.1975,,21
11,0.366666667,,9.166666667,-0.058333333,2.775,,23
12,0.4,,4.583333333,-0.029166667,2.3525,,21
13,0.433333333,,0,0,1.93,,22
